"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-01-18",,,,"0.99",,,,"60","53",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-01-19",,,,"1.98",,,,"63","42",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-01-20",,,,"0.32",,,,"62","42",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-01-21",,,,,,,,"59","36",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-01-22",,,,,,,,"70","49",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-01-23",,,,,,,,"70","53",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-01-24",,,,,,,,"67","53",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-01-25",,,,,,,,"52","37",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-01-26",,,,,,,,"66","34",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-01-27",,,,,,,,"70","49",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-01-28",,,,"0.85",,,,"64","39",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-01-29",,,,"0.39",,,,"57","35",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-01-30",,,,,,,,"67","41",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-01-31",,,,,,,,"69","40",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-01",,,,"0.38","0.0","0.0",,"68","54",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-02",,,,"0.81","0.0","0.0",,"67","56",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-03",,,,"0.31","0.0","0.0",,"61","43",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-04",,,,"0.00","0.0","0.0",,"57","37",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-05",,,,"0.00","0.0","0.0",,"62","30",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-06",,,,"0.02","0.0","0.0",,"69","46",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-07",,,,"0.00","0.0","0.0",,"69","38",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-08",,,,"0.00","0.0","0.0",,"69","53",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-09",,,,"0.66","0.0","0.0",,"72","55",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-10",,,,"0.39","0.0","0.0",,"63","43",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-11",,,,"0.00","0.0","0.0",,"74","37",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-12",,,,"0.00","0.0","0.0",,"76","44",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-13",,,,"0.00","0.0","0.0",,"77","57",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-14",,,,"0.00","0.0","0.0",,"72","62",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-15",,,,"0.11","0.0","0.0",,"70","52",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-16",,,,"0.11","0.0","0.0",,"58","39",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-17",,,,"0.00","0.0","0.0",,"51","31",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-18",,,,"0.00","0.0","0.0",,"51","39",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-19",,,,"0.00","0.0","0.0",,"65","36",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-20",,,,"0.00","0.0","0.0",,"63","38",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-21",,,,"0.96","0.0","0.0",,"58","39",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-22",,,,"0.01","0.0","0.0",,"57","42",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-23",,,,"0.00","0.0","0.0",,"59","35",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-24",,,,"0.00","0.0","0.0",,"71","45",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-25",,,,"0.00","0.0","0.0",,"63","38",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-26",,,,"0.00","0.0","0.0",,"73","37",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-27",,,,"0.00","0.0","0.0",,"70","49",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-02-28",,,,"0.05","0.0","0.0",,"60","51",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-01",,,,"0.22","0.0","0.0",,"52","37",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-02",,,,"0.00","0.0","0.0",,"60","39",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-03",,,,"0.00","0.0","0.0",,"66","34",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-04",,,,"0.00","0.0","0.0",,"70","36",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-05",,,,"0.00","0.0","0.0",,"71","50",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-06",,,,"0.00","0.0","0.0",,"65","55",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-07",,,,"1.69","0.0","0.0",,"64","56",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-08",,,,"2.70","0.0","0.0",,"65","59",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-09",,,,"0.00","0.0","0.0",,"80","61",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-10",,,,"0.00","0.0","0.0",,"82","63",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-11",,,,"0.00","0.0","0.0",,"78","66",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-12",,,,"0.03","0.0","0.0",,"83","67",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-13",,,,"0.00","0.0","0.0",,"81","60",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-14",,,,"0.48","0.0","0.0",,"77","61",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-15",,,,"0.05","0.0","0.0",,"66","47",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-16",,,,"0.00","0.0","0.0",,"70","44",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-17",,,,"0.00","0.0","0.0",,"71","44",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-18",,,,"0.00","0.0","0.0",,"77","42",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-19",,,,"0.00","0.0","0.0",,"72","45",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-20",,,,"0.00","0.0","0.0",,"63","33",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-21",,,,"0.00","0.0","0.0",,"73","38",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-22",,,,"0.00","0.0","0.0",,"71","51",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-23",,,,"0.00","0.0","0.0",,"74","54",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-24",,,,"0.00","0.0","0.0",,"71","46",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-25",,,,"0.16","0.0","0.0",,"46","37",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-26",,,,"0.36","0.0","0.0",,"44","38",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-27",,,,"0.00","0.0","0.0",,"54","39",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-28",,,,"0.35","0.0","0.0",,"56","47",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-29",,,,"0.75","0.0","0.0",,"65","56",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-30",,,,"0.18","0.0","0.0",,"70","57",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-03-31",,,,"0.01","0.0","0.0",,"74","50",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-04-01",,,,"0.00","0.0","0.0",,"79","53",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-04-02",,,,"0.00","0.0","0.0",,"76","59",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-04-03",,,,"0.00","0.0","0.0",,"68","42",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-04-04",,,,"0.00","0.0","0.0",,"81","48",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-04-05",,,,"0.00","0.0","0.0",,"80","53",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-04-06",,,,"1.55","0.0","0.0",,"68","43",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-04-07",,,,"0.00","0.0","0.0",,"63","33",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-04-08",,,,"0.00","0.0","0.0",,"65","41",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-04-09",,,,"0.02","0.0","0.0",,"74","51",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-04-10",,,,"0.59","0.0","0.0",,"72","58",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-04-11",,,,"0.00","0.0","0.0",,"66","43",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-04-12",,,,"0.00","0.0","0.0",,"67","41",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-04-13",,,,"0.00","0.0","0.0",,"67","45",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-04-14",,,,"0.74","0.0","0.0",,"74","55",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-04-15",,,,"0.00","0.0","0.0",,"81","50",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-04-16",,,,"0.00","0.0","0.0",,"84","63",,,,,,,,,,,,,,,,,,,,,,,
"USW00013977","TEXARKANA WEBB FIELD, AR US","1990-04-17",,,,"0.00","0.0","0.0",,"78","55",,,,,,,,,,,,,,,,,,,,,,,
